,ticker,date,time,headline,pred_label
0,WBA,2022-01-06,07:00:00," Walgreens Boots Alliance Q1 Profit Tops Estimates, Sales Up 7.8%; Raises FY22 Guidance  Walgreens Boots Alliance Q1 22 Earnings Conference Call At 8:30 AM ET ",1
1,STZ,2022-01-06,07:30:00, Constellation Brands Q3 Profit Tops Estimates; Increases FY22 Comparable Basis EPS	outlook  Constellation Brands To Bring Coca-Cola's FRESCA Brand To The U.S. Next Year - Quick Facts ,1
2,CAG,2022-01-06,07:30:00," Conagra Brands Reaffirms FY22 Adj. EPS Guidance; Increases Organic Net Sales Guidance  Conagra Brands Inc. Q2 Profit Decreases, misses estimates Conagra Brands Q2 22 Earnings Conference Call At 9:30 AM ET ",0
3,LW,2022-01-06,08:30:00," Lamb Weston Projects 2022 Net Sales Growth Above Long-term Target Range  Lamb Weston Holdings, Inc. Q2 Profit Decreases, but beats estimates Lamb Weston Holdings Q2 22 Earnings Conference Call At 10:00 AM ET ",1
4,DAL,2022-01-13,06:30:00," 8,000 Delta Employees Test Positive In Last 4 Weeks; Quarterly Results Impacted  Delta Air Lines Reports Adj. Profit In Q4; Projects Loss In Q1  Delta Air Lines Q4 21 Earnings Conference Call At 10:00 AM ET ",0
5,WFC,2022-01-14,06:48:00," Wells Fargo & Co Q4 Profit Rises, Beats estimates Wells Fargo Q4 21 Earnings Conference Call At 10:00 AM ET ",1
6,JPM,2022-01-14,06:47:00," JPMorgan Q4 Profit Down 14%, But Results Top Estimates  JPMorgan Chase & Co. Q4 Profit Falls, but beats estimates JPMorgan Chase & Co. Q4 21 Earnings Conference Call At 8:30 AM ET ",0
7,C,2022-01-14,08:00:00, Citigroup Q4 Net Income Declines On Higher Expenses; Revenues Up 1%  Citigroup Inc. Q4 Profit Falls Citigroup Q4 21 Earnings Conference Call At 11:00 AM ET  Citi To Sell Four Asian Units To Singapore's UOB Group ,0
8,BLK,2022-01-14,06:30:00," BlackRock Q4 Profit Rises 6%, Tops Estimates; Boosts Dividend 18% - Quick Facts  Blackrock Inc. Q4 Profit Increases, beats estimates Blackrock Q4 21 Earnings Conference Call At 8:30 AM ET ",1
9,GS,2022-01-18,07:30:00," Goldman Sachs Q4 Profit Down 13%, Misses Estimates  Goldman Sachs Group Inc. Profit Falls In Q4, misses estimates Goldman Sachs Group Q4 21 Earnings Conference Call At 9:30 AM ET ",0
10,BK,2022-01-18,06:30:00," Bank Of New York Mellon Expects Double-digit EPS Growth  The Bank of New York Mellon Corp. Q4 Profit Increases, beats estimates The Bank Of New York Mellon Q4 21 Earnings Conference Call At 8:00 AM ET ",1
11,SCHW,2022-01-18,08:45:00,,0
12,PNC,2022-01-18,06:45:00," PNC Financial Q4 Profit Declines, But Adj. EPS Tops Estimates - Quick Facts  PNC Financial Services Group Inc. Q4 Profit Decreases, but beats estimates PNC Financial Services Group Q4 21 Earnings Conference Call At 9:30 AM ET ",0
13,TFC,2022-01-18,05:45:00," Truist Financial Q4 Profit Increases, Tops Estimates - Quick Facts  Truist Financial Q4 21 Earnings Conference Call At 8:30 AM ET  Truist Financial Corporation Q4 Profit Increases, beats estimates",1
14,PG,2022-01-19,06:58:00, Procter & Gamble Q2 Results Top Estimates; Boosts FY22 Sales Outlook - Quick Facts  Procter & Gamble Co. Q2 Earnings Summary Procter & Gamble Q2 22 Earnings Conference Call At 8:30 AM ET ,1
