,ticker,date,time,headline,pred_label
0,WBA,2021-01-07,07:00:00," Walgreens Expands Access To Covid Vaccinations Among Additional Vulnerable Populations  Walgreens Sees H1 Adj. EPS In Line With Prior View; Backs FY Profit View  Walgreens Boots Alliance, Inc. Q1 adjusted earnings Beat Estimates Walgreens Boots Alliance Q1 21 Earnings Conference Call At 8:30 AM ET ",1
1,STZ,2021-01-07,08:00:00, Constellation Brands Q3 Profit Tops Estimates - Quick Facts ,1
2,CAG,2021-01-07,07:30:00, Conagra Brands Guides Q3 Adj. EPS In Line With View; Reaffirms 2022 Outlook - Quick Facts  Conagra Brands Inc. Q2 adjusted earnings Beat Estimates,1
3,LW,2021-01-07,08:30:00," Lamb Weston Says U.S. Shipments For First 4 Weeks Of Q3 At 85% Of Prior-year Levels  Lamb Weston Holdings, Inc. Profit Declines In Q2",0
4,DAL,2021-01-14,07:00:00, Delta Air Lines Reports Adj. Pre-tax Loss In Q4 - Quick Facts  Delta Air Lines Inc Q4 adjusted earnings Miss Estimates Delta Air Lines Q4 20 Earnings Conference Call At 10:00 AM ET ,0
5,BLK,2021-01-14,06:00:00," Blackrock Q4 20 Earnings Conference Call At 8:30 AM ET  BlackRock Q4 Profit Rises 19%, Results Top Estimates - Quick Facts  Blackrock Inc. Q4 adjusted earnings Beat Estimates",1
6,WFC,2021-01-15,08:00:00," Wells Fargo Q4 Profit Tops View, But Revenues Miss  Wells Fargo & Co Bottom Line Rises In Q4 Wells Fargo Q4 20 Earnings Conference Call At 10:00 AM ET ",0.5
7,JPM,2021-01-15,07:00:00, JPMorgan Chase & Co Q4 Profit Tops Estimates; Managed Net Revenue Up 3%  JPMorgan Chase & Co. Reveals Gain In Q4 Earnings JPMorgan Chase Q4 20 Earnings Conference Call At 8:30 AM ET ,1
8,C,2021-01-15,08:00:00," Citigroup Q4 Profit Declines On Lower Revenues, Higher Expenses  Citigroup Inc. Q4 Profit Declines Citigroup Q4 20 Earnings Conference Call At 11:30 AM ET ",0
9,PNC,2021-01-15,06:45:00, PNC Financial Services Group Inc. Reveals Rise In Q4 Bottom Line PNC Financial Services Group Q4 20 Earnings Conference Call At 11:00 AM ET ,1
10,GS,2021-01-19,07:30:00, Goldman Sachs Q4 Profit More Than Doubles; Results Top Estimates  Goldman Sachs Group Inc. Reveals Gain In Q4 Bottom Line Goldman Sachs Group Q4 20 Earnings Conference Call At 9:30 AM ET ,1
11,CMA,2021-01-19,06:00:00, Comerica Inc. Reveals Drop In Q4 Earnings Comerica Q4 20 Earnings Conference Call At 8:00 AM ET ,0
12,BAC,2021-01-19,06:45:00," Bank Of America Q4 Profit Tops Estimates; Revenue Down 10%  Bank of America Corporation Announces Drop In Q4 Earnings Bank Of America Board Approves Stock Repurchase Plan, Declares Quarterly Dividend  Bank Of America Q4 20 Earnings Conference Call At 8:30 AM ET ",0.5
13,HAL,2021-01-19,07:00:00, Halliburton Company Q4 adjusted earnings Beat Estimates Halliburton Q4 20 Earnings Conference Call At 9:00 AM ET ,1
14,STT,2021-01-19,07:30:00," State Street Q4 Profit Declines, But Results Beat Estimates - Quick Facts  EARNINGS SUMMARY: Details of State Street Corp. Q4 Earnings Report State Street Q4 20 Earnings Conference Call At 10:00 AM ET ",0.5
15,SCHW,2021-01-19,08:45:00,, 
16,PG,2021-01-20,07:00:00, Procter & Gamble Raises FY21 Outlook - Quick Facts  Procter & Gamble Co. Q2 adjusted earnings Beat Estimates Procter & Gamble Q2 21 Earnings Conference Call At 8:30 AM ET ,1
17,MS,2021-01-20,07:30:00, Morgan Stanley Q4 Results Beat View  Morgan Stanley Q4 adjusted earnings Beat Estimates Morgan Stanley Q4 20 Earnings Conference Call At 8:30 AM ET ,1
18,USB,2021-01-20,06:45:00," U.S. Bancorp Q4 Profit Rises, Meets Estimates - Quick Facts  US Bancorp Q4 Profit Advances US Bancorp Q4 20 Earnings Conference Call At 9:00 AM ET ",1
19,UNH,2021-01-20,08:00:00," UnitedHealth Group Reaffirms FY21 Outlook - Quick Facts  Unitedhealth Group, Inc. Q4 adjusted earnings Beat Estimates Unitedhealth Group Q4 20 Earnings Conference Call At 8:45 AM ET ",1
0,BK,2021-01-20,06:30:00," BNY Mellon Q4 Profit Halves, But Results Top Estimates - Quick Facts  The Bank of New York Mellon Corp. Q4 adjusted earnings Beat Estimates The Bank Of New York Mellon Q4 20 Earnings Conference Call At 8:00 AM ET ",1
1,FAST,2021-01-20,06:50:00, Fastenal Co. Reports Advance In Q4 Earnings Fastenal Q4 20 Earnings Conference Call At 10:00 AM ET ,1
2,CFG,2021-01-20,07:00:00," Citizens Financial Board Approves $750 Mln Stock Repurchase Program - Quick Facts  EARNINGS SUMMARY: Details of Citizens Financial Group, Inc. Q4 Earnings Report Citizens Financial Group Q4 20 Earnings Conference Call At 8:00 AM ET ",1
3,BKR,2021-01-21,07:00:00, Baker Hughes Company Q4 adjusted earnings Miss Estimates Baker Hughes Q4 20 Earnings Conference Call At 9:00 AM ET ,0
4,TRV,2021-01-21,06:57:00," Travelers Q4 Profit Beats View, Revenue Matches Estimates - Quick Facts  The Travelers Companies  Inc. Q4 adjusted earnings Beat Estimates The Travelers Companies Q4 20 Earnings Conference Call At 9:00 AM ET ",1
5,UNP,2021-01-21,08:00:00, Union Pacific Corp. Q4 adjusted earnings Beat Estimates Union Pacific Q4 20 Earnings Conference Call At 8:45 AM ET ,1
6,NTRS,2021-01-21,07:30:00, Northern Trust Corp. Announces Fall In Q4 Earnings,0
7,MTB,2021-01-21,08:00:00, M&T Bank Q4 20 Earnings Conference Call At 11:00 AM ET  M&T Bank Corp. Q4 adjusted earnings Beat Estimates,1
8,KEY,2021-01-21,06:30:00, KeyCorp Earnings Advance In Q4 KeyCorp Q4 20 Earnings Conference Call At 10:00 AM ET ,1
9,FITB,2021-01-21,06:00:00, Fifth Third Bancorp Q4 Income Drops,0
10,TFC,2021-01-21,08:00:00, Truist Financial Q4 20 Earnings Conference Call At 8:00 AM ET  Truist Financial Q4 Results Top Estimates - Quick Facts  Truist Financial Corporation Q4 adjusted earnings of $1.18 per share,1
11,SLB,2021-01-22,07:00:00, Schlumberger Ltd. Q4 adjusted earnings Beat Estimates Schlumberger Q4 20 Earnings Conference Call At 8:30 AM ET ,1
12,HBAN,2021-01-22,08:00:00, Huntington Bancshares Issues Revenue Outlook; Declares Dividend  Huntington Bancshares Inc. Q4 Income Drops Huntington Bancshares Q4 20 Earnings Conference Call At 8:30 AM ET ,0
13,RF,2021-01-22,08:00:00," Regions Financial Q4 Profit Rises 61%, Results Top Estimates - Quick Facts  Regions Financial Corp. Q4 Income Climbs Regions Financial Q4 20 Earnings Conference Call At 11:00 AM ET ",1
14,KMB,2021-01-25,07:30:00, Kimberly-Clark Q4 Results Top Estimates; Boosts Dividend 6.5%  Kimberly-Clark Corp Q4 adjusted earnings Beat Estimates Kimberly-Clark Q4 20 Earnings Conference Call At 10:00 AM ET ,1
15,JNJ,2021-01-26,07:00:00, Johnson & Johnson Projects 2021 Adjusted Operational EPS Growth Of 16.4% - Quick Facts  Johnson & Johnson Q4 adjusted earnings Beat Estimates Johnson & Johnson Q4 20 Earnings Conference Call At 8:30 AM ET ,1
16,GE,2021-01-26,06:30:00," GE Q4 Profit Surges, Revenue Beats View  General Electric Co Q4 adjusted earnings Miss Estimates General Electric Q4 20 Earnings Conference Call At 8:00 AM ET ",1
17,CCL,2021-01-26,08:00:00,, 
18,VZ,2021-01-26,07:00:00, Verizon Issues FY21 Outlook - Quick Facts  Verizon Communications Q4 adjusted earnings Beat Estimates Verizon Communications Q4 20 Earnings Conference Call At 8:30 AM ET ,1
19,MMM,2021-01-26,07:00:00, 3M Guides FY21 In Line With Estimates; Q4 Results Top View - Quick Facts  3M Co. Q4 adjusted earnings Beat Estimates 3M Co. Q4 20 Earnings Conference Call At 9:00 AM ET ,1
0,LMT,2021-01-26,08:00:00, Lockheed Martin Issues 2021 Outlook - Quick Facts  Lockheed Martin Corp. Reports Increase In Q4 Profit Lockheed Martin Q4 20 Earnings Conference Call At 11:00 AM ET ,1.0
1,FCX,2021-01-26,08:00:00, Freeport-McMoRan Q4 Profit Tops Estimates - Quick Facts  Freeport-McMoRan Inc. Q4 adjusted earnings Beat Estimates,1.0
2,PCAR,2021-01-26,08:00:00,,0.5
3,NEE,2021-01-26,08:00:00," NextEra Energy's Long-term Outlook Remains Unchanged - Quick Facts  NextEra Energy Q4 20 Earnings Conference Call At 9:00 AM ET  NextEra Energy, Inc. Q4 adjusted earnings Beat Estimates",1.0
4,IVZ,2021-01-26,06:00:00, Invesco Ltd. Q4 adjusted earnings Beat Estimates,1.0
5,DHI,2021-01-26,06:30:00, D R Horton Raises FY21 Outlook - Quick Facts  D R Horton Inc. Reveals Advance In Q1 Profit,1.0
6,AXP,2021-01-26,07:00:00, American Express Co. Reports Retreat In Q4 Bottom Line American Express Q4 20 Earnings Conference Call At 8:30 AM ET ,0.0
7,ADM,2021-01-26,08:00:00, Archer Daniels Midland Q4 20 Earnings Conference Call At 9:00 AM ET  Archer-Daniels-Midland Q4 adjusted earnings Beat Estimates,1.0
8,ROK,2021-01-26,07:00:00, Rockwell Automation Q1 21 Earnings Conference Call At 8:30 AM ET  Rockwell Automation  Inc. Q1 adjusted earnings of $2.38 per share Rockwell Automation Updates FY21 Guidance - Quick Facts ,1.0
9,RTX,2021-01-26,08:00:00, Raytheon Technologies Q4 20 Earnings Conference Call At 8:30 AM ET  Raytheon Technologies Guides FY21 Adj. EPS In Line With Estimates - Quick Facts  Raytheon Technologies Corporation Q4 adjusted earnings of $0.74 per share,1.0
10,PLD,2021-01-26,08:00:00, Prologis Guides FY21 EPS Well Above Estimates - Quick Facts  ProLogis Q4 adjusted earnings of $0.95 per share,1.0
11,T,2021-01-27,07:00:00, AT&T Posts Q4 Loss; But Results Beat Estimates  AT&T Sued For Allegedly Stealing Patented Twinning Technology  AT&T Inc. Q4 adjusted earnings Beat Estimates AT&T Q4 20 Earnings Conference Call At 8:30 AM ET ,1.0
12,BA,2021-01-27,07:00:00, Boeing Q4 Loss Sharply Widens - Quick Facts  The Boeing Co. Q4 adjusted earnings Miss Estimates The Boeing Q4 20 Earnings Conference Call At 10:30 AM ET ,0.0
13,GD,2021-01-27,08:00:00, General Dynamics Q4 20 Earnings Conference Call At 9:00 AM ET  General Dynamics Corp. Profit Drops In Q4,0.0
14,ELV,2021-01-27,06:00:00,,0.5
15,BX,2021-01-27,08:00:00, Blackstone Q4 Profit Tops Estimates ,1.0
16,ABT,2021-01-27,08:00:00, Abbott Projects 2021 EPS Growth Of More Than 35% - Quick Facts  Abbott Laboratories Q4 adjusted earnings Beat Estimates Abbott Laboratories Q4 20 Earnings Conference Call At 9:00 AM ET ,1.0
